category,freqmine,SP
runtime,75.73452830314636,131.68920636177063
l2miss,62237061.63319946,790318054.0863532
l3miss,31935074.725568943,389357346.7540478
instructions,33021991802.51673,31048455113.361603
cycles,19924894507.81794,20701962739.27525
stall_cycles,6227490907.523427,8569643872.991519
intra_coh,14834451.726907631,18022.66769468003
inter_coh,0.1606425702811245,0.015420200462606013
wall_cycles,2103244460.803213,2103590128.9437163
llc_size,34639329.15662651,399133946.2760216
local_mem,2492019121.1780457,29487921178.843483
remote_mem,5067415.47523427,75433603.4541249
