category,nn,SP
runtime,74.31462717056274,126.03049969673157
l2miss,19520958.11748634,164506569.4551282
l3miss,73280.49726775957,79189972.33653846
instructions,2029468613.6202185,6461493647.661859
cycles,3972699994.4043717,4128306238.3974357
stall_cycles,2548661575.224044,1613223708.4711537
intra_coh,13106998.278688524,2891.7419871794873
inter_coh,32.57377049180328,0.020833333333333332
wall_cycles,420157614.6721311,420004719.23397434
llc_size,364208.262295082,41684361.84615385
local_mem,56034533.42076503,6027293722.256411
remote_mem,2841683.9344262294,28125971.692307692
