category,bfs,blackscholes
runtime,34.504507303237915,46.193958044052124
l2miss,622104.5555555555,1445620.5733944955
r1b2,1356750.0784313725,1557780.0917431193
l3miss,209636.13071895426,1137258.495412844
instructions,1396723062.9738562,2349528519.412844
cycles,425547248.26797384,1291464052.3119266
stall_cycles,24345018.274509802,245579261.14220184
intra_coh,11306.241830065359,4752.59633027523
inter_coh,340.33986928104576,731.7201834862385
llc_occupancy,525525.8619607843,3558481.2813761467
wall-cycles,420220502.47712415,420517568.6284404
