category,blackscholes,canneal
runtime,46.61204266548157,66.02043867111206
l2miss,1488594.2079646017,6337861.573619632
r1b2,1546998.7477876106,83184.16871165644
l3miss,1214614.9867256638,2809532.8312883438
instructions,2409372122.0,291978494.74539876
cycles,1332163357.0132744,724334822.4539877
stall_cycles,254735898.06637168,542425338.6349694
intra_coh,4564.137168141593,33495.28527607362
inter_coh,784.0752212389381,364.50613496932516
llc_occupancy,5404481.4360177,20024247.55248466
wall-cycles,420375782.9336283,420491986.28834355
