category,streamcluster_0,streamcluster_1
runtime,21.017540454864502,21.021827459335327
l2miss,19179107.922330096,19590526.62135922
r1b2,522129.07766990294,684157.2718446602
l3miss,15266690.776699029,15545197.786407767
instructions,1447831848.262136,1454778651.8737864
cycles,2046424004.9029126,2071649985.262136
stall_cycles,1295690215.9902914,1314677786.0291262
intra_coh,2595884.660194175,2639147.9223300973
inter_coh,1231.8155339805826,1232.6893203883494
llc_occupancy,15917947.899805825,14384122.468932038
wall-cycles,417302277.0873786,417174146.30097085
